id,full_name,phone,email,gender,date_of_birth,city,state,country,customer_segment,education,customer_source
61,Marius Meegan,513-204-3340,mmeegan1o@google.de,Male,04/19/1981,Cincinnati,OH,US,partners,bachelor's degree,word of mouth
62,Manny Guillford,814-680-0748,mguillford1p@huffingtonpost.com,Genderfluid,02/10/1991,Erie,PA,US,corporate,some college,customer referrals
63,Celinka Saterthwait,850-782-8719,csaterthwait1q@naver.com,Female,09/10/2002,Pensacola,FL,US,corporate,other,social marketing
64,Adelaida Umpleby,702-189-6390,aumpleby1r@yolasite.com,Female,05/23/2008,Las Vegas,NV,US,corporate,other,word of mouth
65,Carson Caudrelier,561-774-5079,ccaudrelier1s@comcast.net,Male,07/24/1973,Boynton Beach,FL,US,retail,master's degree,word of mouth
66,Caroline McCurtin,914-955-6324,cmccurtin1t@slate.com,Female,07/02/1974,Staten Island,NY,US,government,some college,social marketing
67,Dominga MacAlinden,901-802-3848,dmacalinden1u@netscape.com,Female,12/29/1970,Memphis,TN,US,individual,bachelor's degree,word of mouth
68,Gianni Furse,212-220-4236,gfurse1v@tumblr.com,Male,09/06/1985,New York City,NY,US,corporate,bachelor's degree,customer referrals
69,Ranice Redsull,512-275-1500,rredsull1w@ebay.com,Agender,05/30/1997,Austin,TX,US,government,doctorate,affiliate marketing
70,Herta Futty,518-179-2767,hfutty1x@barnesandnoble.com,Female,11/09/1999,Albany,NY,US,government,doctorate,social marketing
71,Cos Fisbey,775-595-9744,cfisbey1y@booking.com,Male,08/07/1997,Reno,NV,US,partners,doctorate,word of mouth
72,Georgie Oulett,801-904-3053,goulett1z@independent.co.uk,Female,10/27/2003,Provo,UT,US,government,master's degree,social marketing
73,Stearne Zarfai,202-544-9777,szarfai20@biglobe.ne.jp,Male,05/11/2001,Washington,DC,US,individual,other,customer referrals
74,Bendix Davidovitch,214-725-7991,bdavidovitch21@nih.gov,Male,07/08/1982,Dallas,TX,US,retail,master's degree,word of mouth
75,Clareta Josskowitz,563-290-7263,cjosskowitz22@thetimes.co.uk,Female,08/14/1979,Davenport,IA,US,government,other,customer referrals
76,Emmie Ariss,208-434-0521,eariss23@senate.gov,Female,10/21/2002,Boise,ID,US,wholesale,high school,affiliate marketing
77,Even Kelcey,502-381-7815,ekelcey24@jigsy.com,Male,03/27/1972,Louisville,KY,US,corporate,bachelor's degree,word of mouth
78,Rickard Walisiak,215-108-2051,rwalisiak25@illinois.edu,Male,08/12/1980,Philadelphia,PA,US,individual,bachelor's degree,affiliate marketing
79,Hardy Amberg,202-100-7542,hamberg26@bigcartel.com,Male,07/12/1985,Washington,DC,US,retail,bachelor's degree,social marketing
80,Dudley Eates,785-288-7142,deates27@histats.com,Male,01/05/1973,Topeka,KS,US,individual,other,word of mouth
81,Grace Fellgate,609-311-5373,gfellgate28@dailymotion.com,Male,07/03/1998,Trenton,NJ,US,retail,doctorate,word of mouth
82,Danika Gethin,251-338-5978,dgethin29@alibaba.com,Female,08/11/1993,Mobile,AL,US,corporate,bachelor's degree,social marketing
83,Darleen Dunnico,401-985-5955,ddunnico2a@altervista.org,Female,08/03/2000,Providence,RI,US,individual,bachelor's degree,affiliate marketing
84,Bertrand Habgood,360-151-2231,bhabgood2b@hud.gov,Male,02/09/1973,Vancouver,WA,US,partners,high school,social marketing
85,Clary Kenion,609-698-1355,ckenion2c@deviantart.com,Female,12/01/1994,Trenton,NJ,US,wholesale,bachelor's degree,affiliate marketing
86,Vachel Varren,352-119-1165,vvarren2d@engadget.com,Male,01/25/1988,Gainesville,FL,US,partners,doctorate,word of mouth
87,Corny Echallie,205-959-6554,cechallie2e@e-recht24.de,Female,07/31/1971,Birmingham,AL,US,government,doctorate,social marketing
88,Charley Ziemke,251-694-7058,cziemke2f@jigsy.com,Male,12/06/1984,Mobile,AL,US,retail,bachelor's degree,affiliate marketing
89,Letta De Mars,501-955-6419,lde2g@marketwatch.com,Female,06/05/1970,Hot Springs National Park,AR,US,corporate,other,affiliate marketing
90,Randal Harrisson,508-162-6919,rharrisson2h@newyorker.com,Male,08/30/1996,Worcester,MA,US,corporate,some college,affiliate marketing
91,Patten Bummfrey,517-995-2949,pbummfrey2i@myspace.com,Male,11/18/2005,Lansing,MI,US,individual,other,customer referrals
92,Boony Kennefick,414-914-7315,bkennefick2j@dion.ne.jp,Male,02/16/2006,Milwaukee,WI,US,corporate,high school,customer referrals
93,Davy Wooff,202-617-9226,dwooff2k@clickbank.net,Male,02/27/1993,Washington,DC,US,partners,doctorate,affiliate marketing
94,Maureen Dumbellow,504-244-3424,mdumbellow2l@symantec.com,Female,03/08/1978,New Orleans,LA,US,government,bachelor's degree,affiliate marketing
95,Zenia Dumberell,208-683-1392,zdumberell2m@shinystat.com,Female,03/07/1991,Boise,ID,US,corporate,other,customer referrals
96,Lari Barday,505-526-8440,lbarday2n@linkedin.com,Female,06/04/1973,Albuquerque,NM,US,partners,bachelor's degree,affiliate marketing
97,Alphonse Wardle,972-550-8280,awardle2o@furl.net,Male,05/02/2005,Mesquite,TX,US,government,high school,social marketing
98,Clay Formigli,915-774-8583,cformigli2p@ucoz.ru,Male,07/17/1995,El Paso,TX,US,partners,bachelor's degree,social marketing
99,Martyn Wurz,215-846-2324,mwurz2q@blogs.com,Male,07/18/1971,Philadelphia,PA,US,corporate,some college,customer referrals
100,Reggis MacLure,202-221-6082,rmaclure2r@skype.com,Non-binary,12/04/1991,Washington,DC,US,wholesale,other,word of mouth
101,Ker Phelipeaux,703-835-1592,kphelipeaux2s@intel.com,Male,05/19/2007,Washington,DC,US,wholesale,high school,social marketing
102,Corrie Bosson,210-236-0861,cbosson2t@va.gov,Female,02/05/2000,San Antonio,TX,US,individual,some college,affiliate marketing
103,Jo-ann Dionisii,865-557-1948,jdionisii2u@uol.com.br,Non-binary,07/09/1995,Knoxville,TN,US,wholesale,master's degree,affiliate marketing
104,Joshia Denning,318-268-0065,jdenning2v@drupal.org,Male,02/09/2003,Shreveport,LA,US,corporate,high school,social marketing
105,Micheline Looby,734-610-2297,mlooby2w@goo.gl,Female,03/07/1970,Detroit,MI,US,partners,other,customer referrals
106,Stanly Nary,502-591-4604,snary2x@discovery.com,Genderqueer,11/23/2007,Louisville,KY,US,individual,master's degree,word of mouth
107,Mata Longfut,408-264-5510,mlongfut2y@google.ru,Male,11/28/2004,San Jose,CA,US,wholesale,bachelor's degree,customer referrals
108,Brigham Peoples,203-818-6739,bpeoples2z@buzzfeed.com,Bigender,01/01/1997,Bridgeport,CT,US,individual,some college,social marketing
109,Karlene Ickovicz,916-149-0400,kickovicz30@amazonaws.com,Female,09/07/2002,Sacramento,CA,US,wholesale,other,customer referrals
110,Delly Sherwin,330-407-3285,dsherwin31@creativecommons.org,Female,04/22/1986,Akron,OH,US,government,doctorate,affiliate marketing
111,Ennis Wormleighton,314-789-6541,ewormleighton32@mapy.cz,Agender,12/29/2002,Saint Louis,MO,US,corporate,bachelor's degree,affiliate marketing
112,Elysha Richfield,956-882-3201,erichfield33@oaic.gov.au,Female,06/13/1971,Laredo,TX,US,partners,high school,social marketing
113,Emili Addyman,612-125-2940,eaddyman34@flickr.com,Female,03/28/2001,Minneapolis,MN,US,partners,some college,social marketing
114,Chaddie Crees,714-965-9197,ccrees35@gov.uk,Male,10/05/1989,Santa Ana,CA,US,government,other,social marketing
115,Gustav Lummasana,404-646-9903,glummasana36@a8.net,Male,03/09/1986,Atlanta,GA,US,retail,high school,affiliate marketing
116,Andeee Jury,913-644-1758,ajury37@tumblr.com,Female,07/01/1984,Shawnee Mission,KS,US,government,some college,social marketing
117,Etienne Vause,702-966-0846,evause38@newsvine.com,Male,12/18/1983,Las Vegas,NV,US,wholesale,doctorate,word of mouth
118,Jephthah Lafflina,361-295-0172,jlafflina39@biblegateway.com,Male,05/19/2001,Corpus Christi,TX,US,partners,bachelor's degree,affiliate marketing
119,Wilmette Flaonier,312-482-5135,wflaonier3a@usgs.gov,Female,06/08/1971,Chicago,IL,US,individual,some college,affiliate marketing
120,Frederigo Walkling,706-245-2116,fwalkling3b@slideshare.net,Male,08/21/1982,Columbus,GA,US,individual,high school,affiliate marketing
121,Dario Hryniewicki,912-756-3440,dhryniewicki3c@yellowpages.com,Male,07/23/1983,Savannah,GA,US,individual,master's degree,customer referrals
122,Louisa Sidebotton,404-948-2444,lsidebotton3d@scribd.com,Female,09/23/1988,Atlanta,GA,US,retail,master's degree,affiliate marketing
123,Derry Dingivan,540-337-7938,ddingivan3e@skype.com,Male,03/25/2005,Roanoke,VA,US,retail,other,social marketing
124,Masha Selesnick,330-430-0054,mselesnick3f@myspace.com,Female,01/07/1998,Akron,OH,US,retail,doctorate,customer referrals
125,Car Pendre,617-623-2382,cpendre3g@biglobe.ne.jp,Male,07/18/1990,Lynn,MA,US,government,doctorate,social marketing
126,Roberta Reville,513-856-0151,rreville3h@imgur.com,Female,10/15/1975,Cincinnati,OH,US,retail,other,word of mouth
127,Bondy Kornel,817-941-0059,bkornel3i@marketwatch.com,Male,01/30/1988,Fort Worth,TX,US,retail,master's degree,social marketing
128,Blair Blankman,515-458-2926,bblankman3j@example.com,Female,08/31/2006,Des Moines,IA,US,partners,doctorate,word of mouth
129,Phedra Sacaze,336-387-1094,psacaze3k@reddit.com,Female,10/25/2006,Greensboro,NC,US,individual,high school,social marketing
130,Hermann Addis,405-790-5160,haddis3l@homestead.com,Genderfluid,05/03/1996,Oklahoma City,OK,US,individual,other,word of mouth
131,Nicolina Goldhawk,209-985-0592,ngoldhawk3m@wired.com,Polygender,07/01/1997,Hayward,CA,US,individual,doctorate,social marketing
132,Shayne Kesby,419-866-7817,skesby3n@nsw.gov.au,Female,08/17/2008,Toledo,OH,US,retail,bachelor's degree,customer referrals
133,Glynda Noblet,432-508-2459,gnoblet3o@mayoclinic.com,Female,01/12/1977,Odessa,TX,US,retail,high school,word of mouth
134,Therine Marples,915-741-3059,tmarples3p@amazon.com,Female,05/20/1982,El Paso,TX,US,individual,bachelor's degree,social marketing
135,Tristam Marzelo,706-763-5241,tmarzelo3q@shareasale.com,Male,09/14/2002,Columbus,GA,US,corporate,doctorate,word of mouth
136,Mariska Durtnell,832-944-3346,mdurtnell3r@hhs.gov,Female,08/12/1976,Houston,TX,US,partners,doctorate,word of mouth
137,Ive De Benedetti,212-393-3087,ide3s@huffingtonpost.com,Male,01/31/1973,New York City,NY,US,government,master's degree,affiliate marketing
138,Aleda Belfitt,312-732-2458,abelfitt3t@usa.gov,Female,08/07/2005,Chicago,IL,US,corporate,high school,social marketing
139,Verney McAuliffe,208-395-2519,vmcauliffe3u@sun.com,Male,06/22/2001,Boise,ID,US,retail,bachelor's degree,customer referrals
140,Maddalena Latour,808-807-1648,mlatour3v@xing.com,Female,10/12/1986,Honolulu,HI,US,partners,some college,social marketing
141,Ike Saiger,540-185-3685,isaiger3w@tinypic.com,Male,10/08/1991,Roanoke,VA,US,retail,high school,word of mouth
142,Earvin Wallege,812-521-8282,ewallege3x@apache.org,Male,03/05/1990,Evansville,IN,US,partners,high school,customer referrals
143,Vladamir Arons,239-424-4507,varons3y@alibaba.com,Male,09/08/1977,Naples,FL,US,wholesale,doctorate,word of mouth
144,Cyrill Caulcott,318-208-4106,ccaulcott3z@slate.com,Male,11/11/1982,Shreveport,LA,US,retail,some college,social marketing
145,Alida Vittet,864-702-4835,avittet40@mayoclinic.com,Female,04/21/1984,Spartanburg,SC,US,retail,high school,social marketing
146,Conroy Clyne,818-506-9051,cclyne41@sphinn.com,Male,06/17/1989,Glendale,CA,US,partners,master's degree,word of mouth
147,Janie Spores,562-698-2602,jspores42@mysql.com,Female,07/07/1976,Whittier,CA,US,government,bachelor's degree,social marketing
148,Marlow Balding,719-664-1740,mbalding43@themeforest.net,Male,12/30/1995,Colorado Springs,CO,US,partners,bachelor's degree,customer referrals
149,Tabbitha Bound,910-511-3137,tbound44@nature.com,Female,11/06/1998,Wilmington,NC,US,partners,master's degree,affiliate marketing
150,Juieta Tullot,951-686-9490,jtullot45@printfriendly.com,Female,07/25/1984,Riverside,CA,US,retail,bachelor's degree,word of mouth
151,Albert Tidder,912-118-0174,atidder46@nhs.uk,Male,12/14/1978,Savannah,GA,US,government,some college,affiliate marketing
152,Raddie Treneman,407-931-7446,rtreneman47@amazon.com,Genderfluid,09/15/1999,Orlando,FL,US,government,master's degree,affiliate marketing
153,Fletch Stronough,804-139-2967,fstronough48@vinaora.com,Male,11/10/2007,Richmond,VA,US,retail,some college,affiliate marketing
154,Bettina Baggelley,312-141-2684,bbaggelley49@huffingtonpost.com,Female,08/02/2001,Chicago,IL,US,partners,doctorate,affiliate marketing
155,Mimi Crickmoor,843-807-8384,mcrickmoor4a@discovery.com,Female,08/18/1989,Charleston,SC,US,corporate,doctorate,social marketing
156,Kelila Burgot,702-614-8170,kburgot4b@zdnet.com,Female,04/17/1974,Henderson,NV,US,partners,master's degree,customer referrals
157,Samuele Larimer,203-362-2400,slarimer4c@china.com.cn,Male,10/11/1973,Waterbury,CT,US,individual,master's degree,social marketing
158,De witt Volke,203-891-5903,dwitt4d@topsy.com,Male,12/26/1994,Bridgeport,CT,US,retail,other,social marketing
159,Lida Davidovics,805-418-1330,ldavidovics4e@dmoz.org,Polygender,10/02/1986,San Luis Obispo,CA,US,wholesale,bachelor's degree,social marketing
160,Cordelia Monni,754-181-2981,cmonni4f@japanpost.jp,Female,11/25/2000,Fort Lauderdale,FL,US,corporate,high school,affiliate marketing
161,Daffie Stratten,281-192-8926,dstratten4g@qq.com,Female,10/19/1978,Houston,TX,US,wholesale,doctorate,customer referrals
162,Mela Titterrell,919-835-6933,mtitterrell4h@webmd.com,Female,01/06/1980,Raleigh,NC,US,wholesale,some college,social marketing
163,Marjorie Clench,509-188-3455,mclench4i@t-online.de,Female,07/28/1987,Spokane,WA,US,government,bachelor's degree,word of mouth
164,Addie Ox,717-608-0595,aox4j@cnbc.com,Genderfluid,01/26/1993,York,PA,US,retail,other,social marketing
165,Barth Bouchier,915-860-7446,bbouchier4k@myspace.com,Male,09/04/1978,El Paso,TX,US,wholesale,bachelor's degree,social marketing
166,Noelle Gatus,714-397-1190,ngatus4l@yellowpages.com,Female,12/05/2005,Los Angeles,CA,US,retail,doctorate,social marketing
167,Chico Gagin,816-391-9157,cgagin4m@51.la,Male,10/12/1994,Kansas City,MO,US,corporate,master's degree,affiliate marketing
168,Krissy Miell,713-238-8758,kmiell4n@ask.com,Agender,07/11/2003,Houston,TX,US,retail,other,customer referrals
169,Cris Stidson,952-481-8271,cstidson4o@apple.com,Genderfluid,11/22/1994,Young America,MN,US,corporate,high school,customer referrals
170,Bethena Schust,520-711-7918,bschust4p@jiathis.com,Female,12/15/1987,Tucson,AZ,US,wholesale,bachelor's degree,social marketing
171,Bibi Shernock,601-748-3410,bshernock4q@epa.gov,Female,07/01/1980,Jackson,MS,US,individual,doctorate,customer referrals
172,Dulci Caren,413-382-4648,dcaren4r@canalblog.com,Female,12/05/1971,Springfield,MA,US,partners,high school,affiliate marketing
173,Aline MacConnell,304-657-6844,amacconnell4s@vinaora.com,Female,07/06/1992,Charleston,WV,US,retail,master's degree,word of mouth
174,Mayor Worling,941-485-8477,mworling4t@bizjournals.com,Male,03/15/1986,Port Charlotte,FL,US,wholesale,some college,word of mouth
175,Kimmie Gut,303-436-9279,kgut4u@skype.com,Female,06/07/1979,Denver,CO,US,partners,high school,customer referrals
176,Carissa Riall,202-700-8622,criall4v@pbs.org,Female,08/25/1990,Washington,DC,US,individual,other,customer referrals
177,Yvonne Wickersley,203-825-9232,ywickersley4w@mapquest.com,Genderfluid,01/13/1971,Danbury,CT,US,corporate,high school,social marketing
178,Kara-lynn Sangar,503-463-5276,ksangar4x@trellian.com,Female,05/09/1982,Beaverton,OR,US,individual,doctorate,social marketing
179,Dorrie Brugsma,313-175-6715,dbrugsma4y@indiegogo.com,Female,09/23/2007,Detroit,MI,US,retail,high school,word of mouth
180,Frannie Pickervance,619-689-3875,fpickervance4z@photobucket.com,Female,06/20/1994,Santa Ana,CA,US,corporate,master's degree,social marketing
181,Helaine Rosenthaler,316-760-8862,hrosenthaler50@vimeo.com,Female,04/02/1996,Wichita,KS,US,wholesale,high school,customer referrals
182,Lincoln Brignall,813-464-7128,lbrignall51@nyu.edu,Male,07/03/1980,Tampa,FL,US,retail,high school,customer referrals
183,Ketti Kunc,203-668-0106,kkunc52@kickstarter.com,Female,05/09/1990,Danbury,CT,US,wholesale,some college,social marketing
184,Adamo Pastor,864-125-7171,apastor53@eventbrite.com,Male,06/08/1999,Anderson,SC,US,wholesale,other,social marketing
185,Ariel Willford,650-763-6403,awillford54@nifty.com,Female,02/15/1989,Mountain View,CA,US,wholesale,bachelor's degree,social marketing
186,Brook Osgodby,952-858-3855,bosgodby55@flavors.me,Female,06/17/1972,Young America,MN,US,government,some college,customer referrals
187,Alair Liley,602-619-2612,aliley56@qq.com,Male,12/15/1985,Phoenix,AZ,US,partners,some college,word of mouth
188,Shirley Fawloe,814-811-0635,sfawloe57@ucoz.com,Female,02/07/1997,Erie,PA,US,partners,master's degree,customer referrals
189,Eduardo Grimsditch,203-934-2452,egrimsditch58@gmpg.org,Male,01/15/1986,Stamford,CT,US,government,bachelor's degree,social marketing
190,Stanislaus Yelden,863-407-6322,syelden59@harvard.edu,Male,06/07/1985,Lakeland,FL,US,government,master's degree,word of mouth
191,Lon Brangan,602-959-1102,lbrangan5a@timesonline.co.uk,Male,08/08/1979,Phoenix,AZ,US,individual,high school,customer referrals
192,Erica Tombling,469-442-4856,etombling5b@springer.com,Female,07/03/1998,Garland,TX,US,retail,bachelor's degree,affiliate marketing
193,Crista Phelit,574-365-9365,cphelit5c@adobe.com,Female,09/28/1995,South Bend,IN,US,corporate,doctorate,social marketing
194,Germaine Clubb,901-558-3239,gclubb5d@desdev.cn,Female,03/28/1980,Memphis,TN,US,corporate,high school,customer referrals
195,Blondy Gallahar,517-741-7895,bgallahar5e@wired.com,Female,08/22/1992,Lansing,MI,US,retail,doctorate,affiliate marketing
196,York Piotrowski,425-801-4956,ypiotrowski5f@ed.gov,Male,10/07/1993,Seattle,WA,US,partners,high school,affiliate marketing
197,Erv Antliff,513-806-7905,eantliff5g@tamu.edu,Male,10/25/2006,Columbus,OH,US,retail,bachelor's degree,word of mouth
198,Analiese Folkerd,205-314-0210,afolkerd5h@ox.ac.uk,Female,10/25/1971,Birmingham,AL,US,retail,high school,social marketing
199,Cecelia Beeke,918-879-7062,cbeeke5i@skyrock.com,Female,11/11/1982,Tulsa,OK,US,corporate,doctorate,social marketing
200,Thacher Enochsson,832-696-9881,tenochsson5j@smugmug.com,Male,03/05/1970,Houston,TX,US,partners,other,customer referrals
201,Charmion MacTurlough,309-312-9682,cmacturlough5k@mysql.com,Female,11/25/1996,Peoria,IL,US,government,master's degree,affiliate marketing
202,Jeremias McPhail,330-745-0972,jmcphail5l@jigsy.com,Male,01/09/2007,Akron,OH,US,individual,bachelor's degree,word of mouth
203,Tommy Wraith,801-147-2095,twraith5m@nydailynews.com,Male,07/05/2002,Ogden,UT,US,wholesale,high school,customer referrals
204,Essie Monkhouse,917-285-9098,emonkhouse5n@digg.com,Female,01/04/1971,Bronx,NY,US,partners,bachelor's degree,affiliate marketing
205,Karine Greenrodd,317-510-1898,kgreenrodd5o@ocn.ne.jp,Female,02/12/2002,Indianapolis,IN,US,wholesale,doctorate,social marketing
206,Aprilette Gilleson,317-989-2171,agilleson5p@fotki.com,Female,11/28/1972,Indianapolis,IN,US,wholesale,high school,affiliate marketing
207,Perri Beardsley,812-628-3445,pbeardsley5q@columbia.edu,Female,12/16/1977,Evansville,IN,US,retail,doctorate,customer referrals
208,Julita Bumphrey,719-295-3694,jbumphrey5r@quantcast.com,Female,05/06/1995,Colorado Springs,CO,US,partners,high school,word of mouth
